 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
  98  10264660    WIYN      DSSI     880nm    0.05   1.94    0.2   2010-10-23
  98  10264660    WIYN      DSSI     692nm    0.05   2.86    0.2   2010-10-24
  98  10264660    WIYN      DSSI     880nm    0.05   2.59    0.2   2010-10-24
  98  10264660    WIYN      DSSI     692nm    0.05   2.98    0.2   2010-10-25
  98  10264660    WIYN      DSSI     880nm    0.05   2.13    0.2   2010-10-25
  98  10264660    WIYN      DSSI     880nm    0.05   2.36    0.2   2011-06-11
  98  10264660    WIYN      DSSI     692nm    0.05   3.03    0.2   2011-06-11
  98  10264660    WIYN      DSSI     880nm    0.05   2.43    0.2   2011-09-07
  98  10264660    WIYN      DSSI     692nm    0.05   3.10    0.2   2011-09-07
  98  10264660    WIYN      DSSI     692nm    0.05   2.64    0.2   2012-09-27
  98  10264660    WIYN      DSSI     880nm    0.05   2.35    0.2   2012-09-27
  98  10264660    WIYN      DSSI     880nm    0.05   2.18    0.2   2013-05-28
  98  10264660    WIYN      DSSI     692nm    0.05   2.13    0.2   2013-05-28
  98  10264660    WIYN      DSSI     692nm    0.05   2.87    0.2   2013-09-21
  98  10264660    WIYN      DSSI     880nm    0.05   1.86    0.2   2013-09-21
  98  10264660    WIYN      DSSI     692nm    0.05   2.71    0.2   2013-09-23
  98  10264660    WIYN      DSSI     880nm    0.05   2.01    0.2   2013-09-23
  99   8505215    CAHA  AstraLux        i'    0.40   3.91    0.5   2011-06-05
  99   8505215    Keck     NIRC2        K'   99.99   3.24   0.03   2012-08-13
  99   8505215    Keck     NIRC2        K'   99.99   7.60    0.5   2012-08-13
  99   8505215    Lick     IRCAL         J    0.35   2.66    0.5   2011-09-08
  99   8505215  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  99   8505215  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
  99   8505215    Pal5     PHARO         J    0.22   4.86    0.5   2014-07-10
  99   8505215    Pal5     PHARO  Br-gamma    0.12   6.12    0.5   2014-07-10
  99   8505215    WIYN      DSSI     880nm    0.05   2.52    0.2   2011-06-14
  99   8505215    WIYN      DSSI     692nm    0.05   2.93    0.2   2011-06-14
 100   4055765    Lick     IRCAL         H    0.28   3.03    0.5   2012-09-02
 100   4055765  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 100   4055765    WIYN      DSSI     692nm    0.05   3.42    0.2   2011-06-13
 100   4055765    WIYN      DSSI     880nm    0.05   2.39    0.2   2011-06-13
 102   8456679     Gem      DSSI     880nm    0.02   4.51    0.2   2014-07-19
 102   8456679     Gem      DSSI     692nm    0.02   4.69    0.2   2014-07-19
 102   8456679    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-21
 102   8456679  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 102   8456679  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
 102   8456679  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-10-25
 102   8456679  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-25
 102   8456679  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-10-25
 102   8456679    Pal5     PHARO         J    0.09   6.67    0.5   2009-09-08
 102   8456679    WIYN      DSSI     692nm    0.05   2.94    0.2   2010-09-17
 102   8456679    WIYN      DSSI     562nm    0.05   2.80    0.2   2010-09-17
 102   8456679    WIYN      DSSI     692nm    0.05   2.64    0.2   2010-10-23
 102   8456679    WIYN      DSSI     880nm    0.05   2.19    0.2   2010-10-23
 103   2444412    Keck     NIRC2        K'   99.99   3.81   0.03   2012-08-13
 103   2444412    Keck     NIRC2        K'   99.99   7.70    0.5   2012-08-13
 103   2444412  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 103   2444412    Pal5     PHARO         J    0.09   6.26    0.5   2009-09-09
 103   2444412    WIYN      DSSI     692nm    0.05   3.37    0.2   2010-06-18
 103   2444412    WIYN      DSSI     562nm    0.05   1.76    0.2   2010-06-18
 104  10318874    Keck     NIRC2        K'   99.99   4.70   0.03   2012-08-13
 104  10318874    Keck     NIRC2        K'   99.99   8.20    0.5   2012-08-13
 104  10318874    Keck     NIRC2        K'   99.99   7.20    0.5   2012-08-13
 104  10318874    Keck     NIRC2        K'    0.10   8.00    1.0   2013-06-13
 104  10318874  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
 104  10318874    Pal5     PHARO         J    0.10   8.00    1.0   2010-07-01
 104  10318874    Pal5     PHARO        Ks    0.10   8.00    1.0   2010-07-01
 104  10318874    WIYN      DSSI     692nm    0.05   3.72    0.2   2010-06-18
 104  10318874    WIYN      DSSI     562nm    0.05   2.39    0.2   2010-06-18
 105   8711794    Keck     NIRC2        K'   99.99   7.60    0.5   2012-08-13
 105   8711794    Keck     NIRC2        K'   99.99   3.89   0.03   2012-08-13
 105   8711794    Lick     IRCAL         H    0.27   3.28    0.5   2012-08-05
 105   8711794  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 105   8711794    WIYN      DSSI     692nm    0.05   2.62    0.2   2010-09-17
 105   8711794    WIYN      DSSI     562nm    0.05   3.17    0.2   2010-09-17
 105   8711794    WIYN      DSSI     692nm    0.05   3.15    0.2   2010-09-21
 105   8711794    WIYN      DSSI     880nm    0.05   3.31    0.2   2010-09-21
 105   8711794    WIYN      DSSI     692nm    0.05   2.51    0.2   2010-10-23
 105   8711794    WIYN      DSSI     880nm    0.05   1.95    0.2   2010-10-23
 106  10489525    Pal5     PHARO         J    0.12   5.80    0.5   2009-09-08
 106  10489525    WIYN      DSSI     562nm    0.05   3.62    0.2   2010-09-17
 106  10489525    WIYN      DSSI     692nm    0.05   2.54    0.2   2010-09-17
 107  11250587    Lick     IRCAL         J    0.37   2.66    0.5   2011-09-08
 107  11250587  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 107  11250587    WIYN      DSSI     880nm    0.05   2.46    0.2   2011-06-14
 107  11250587    WIYN      DSSI     692nm    0.05   3.24    0.2   2011-06-14
 108   4914423    Keck     NIRC2         J   99.99  99.99  99.99   2012-08-25
 108   4914423    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-25
 108   4914423    Keck     NIRC2        K'    0.10   8.00    1.0   2013-06-13
 108   4914423  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
 108   4914423    Pal5     PHARO         J    0.06   6.79    0.5   2009-09-09
 108   4914423    WIYN      DSSI     692nm    0.05   3.64    0.2   2010-06-18
 108   4914423    WIYN      DSSI     562nm    0.05   2.39    0.2   2010-06-18
 109   4752451    Pal5     PHARO         J    0.16   5.18    0.5   2009-09-09
 110   9450647    Lick     IRCAL         J    0.38   2.72    0.5   2011-09-08
 110   9450647  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 110   9450647    WIYN      DSSI     692nm    0.05   2.24    0.2   2010-09-19
 110   9450647    WIYN      DSSI     562nm    0.05   3.36    0.2   2010-09-19
 111   6678383    CAHA  AstraLux        i'    0.19   3.12    0.5   2013-06-23
 111   6678383  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 111   6678383    Pal5     PHARO         J    0.07   6.72    0.5   2009-09-10
 111   6678383    WIYN      DSSI     692nm    0.05   3.51    0.2   2010-06-19
 111   6678383    WIYN      DSSI     562nm    0.05   2.35    0.2   2010-06-19
 111   6678383    WIYN      DSSI     692nm    0.05   2.35    0.2   2015-10-27
 111   6678383    WIYN      DSSI     880nm    0.05   2.58    0.2   2015-10-27
 112  10984090     Gem      DSSI     692nm    0.02   4.48    0.2   2014-07-23
 112  10984090     Gem      DSSI     880nm    0.02   4.50    0.2   2014-07-23
 112  10984090    Keck     NIRC2        K'   99.99   8.00    0.5   2014-07-31
 112  10984090  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-18
 112  10984090    Pal5     PHARO        Ks    0.10   8.00    1.0   2010-07-02
 112  10984090    Pal5     PHARO         J    0.10   8.00    1.0   2010-07-02
 112  10984090    WIYN      DSSI     692nm    0.05   2.64    0.2   2010-06-19
 112  10984090    WIYN      DSSI     562nm    0.05   1.53    0.2   2010-06-19
 113   2306756  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-17
 113   2306756  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-04-22
 113   2306756  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-04-22
 113   2306756  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-04-22
 113   2306756  Pal1.5   Robo-AO        r'    0.12  99.99  99.99   2013-04-22
 113   2306756    Pal5     PHARO         J    0.10   8.00    1.0   2010-07-03
 113   2306756    Pal5     PHARO        Ks    0.10   8.00    1.0   2010-07-03
 113   2306756    WIYN      DSSI     692nm    0.05   2.62    0.2   2010-09-19
 113   2306756    WIYN      DSSI     562nm    0.05   3.01    0.2   2010-09-19
 114   6721123    WIYN      DSSI     562nm    0.05   4.04    0.2   2010-09-17
 114   6721123    WIYN      DSSI     692nm    0.05   2.33    0.2   2010-09-17
 115   9579641    CAHA  AstraLux        i'    0.18   3.16    0.5   2013-06-23
 115   9579641     Gem      DSSI     692nm    0.02   5.24    0.2   2013-07-25
 115   9579641     Gem      DSSI     880nm    0.02   3.16    0.2   2013-07-25
 115   9579641     MMT     ARIES        Ks    0.15   8.00    1.0   2009-11-09
 115   9579641  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 115   9579641    WIYN      DSSI     880nm    0.05   2.05    0.2   2011-06-14
 115   9579641    WIYN      DSSI     692nm    0.05   2.60    0.2   2011-06-14
 116   8395660    Keck     NIRC2        K'   99.99   3.88   0.03   2012-07-07
 116   8395660    Keck     NIRC2        K'   99.99   7.90    0.5   2012-07-07
 116   8395660    Keck     NIRC2        K'    0.10   8.00    1.0   2013-06-13
 116   8395660     MMT     ARIES        Ks    0.15   8.00    1.0   2009-11-09
 116   8395660  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
 116   8395660    WIYN      DSSI     562nm    0.05   1.45    0.2   2010-06-19
 116   8395660    WIYN      DSSI     692nm    0.05   3.15    0.2   2010-06-19
 117  10875245    Keck     NIRC2        K'   99.99   7.60    0.5   2012-08-13
 117  10875245    Keck     NIRC2        K'   99.99   3.89   0.03   2012-08-13
 117  10875245  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 117  10875245    Pal5     PHARO         J    0.10   8.00    1.0   2010-07-03
 117  10875245    Pal5     PHARO        Ks    0.10   8.00    1.0   2010-07-03
 117  10875245    WIYN      DSSI     562nm    0.05   3.86    0.2   2010-06-22
 117  10875245    WIYN      DSSI     692nm    0.05   3.66    0.2   2010-06-22
 118   3531558     Gem      DSSI     692nm    0.02   4.58    0.2   2014-07-25
 118   3531558     Gem      DSSI     880nm    0.02   4.35    0.2   2014-07-25
 118   3531558    Keck     NIRC2        K'   99.99   7.70    0.5   2012-08-13
 118   3531558    Keck     NIRC2        K'   99.99   4.33   0.03   2012-08-13
 118   3531558  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-17
 118   3531558    Pal5     PHARO         J    0.10   8.00    1.0   2010-07-02
 118   3531558    Pal5     PHARO        Ks    0.10   8.00    1.0   2010-07-02
 118   3531558    WIYN      DSSI     880nm    0.05   2.65    0.2   2011-06-13
 118   3531558    WIYN      DSSI     692nm    0.05   3.77    0.2   2011-06-13
 119   9471974    Keck     NIRC2        K'   99.99   5.90    0.5   2012-12-02
 119   9471974    Keck     NIRC2        K'   99.99   3.69   0.03   2014-08-13
 119   9471974    Lick     IRCAL         J    0.36   2.56    0.5   2011-09-08
 119   9471974  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-16
 119   9471974    Pal5     PHARO         J    0.15   0.29    0.5   2014-07-14
 119   9471974    Pal5     PHARO        Ks    0.15   0.78    0.5   2014-07-14
 119   9471974    Pal5     PHARO        Ks    0.15   0.78    0.5   2014-07-16
 119   9471974    Pal5     PHARO         J    0.15   0.29    0.5   2014-07-16
 119   9471974    WIYN      DSSI     692nm    0.05   2.45    0.2   2010-10-23
 119   9471974    WIYN      DSSI     880nm    0.05   1.99    0.2   2010-10-23
 120  11869052    WIYN      DSSI     692nm    0.05   2.59    0.2   2015-10-24
 120  11869052    WIYN      DSSI     880nm    0.05   2.52    0.2   2015-10-24
 121   3247396    Pal5     PHARO         J    0.22   4.64    0.5   2009-09-09
 122   8349582    Keck     NIRC2        K'    0.10   8.00    1.0   2013-06-13
 122   8349582    Keck     NIRC2        K'   99.99   5.11   0.03   2013-08-06
 122   8349582    Keck     NIRC2        K'   99.99   7.90    0.5   2013-08-06
 122   8349582    Keck     NIRC2        K'   99.99   6.90    0.5   2013-08-06
 122   8349582  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
 122   8349582    Pal5     PHARO         J    0.06   7.14    0.5   2009-09-08
 122   8349582    WIYN      DSSI     692nm    0.05   3.95    0.2   2010-06-18
 122   8349582    WIYN      DSSI     562nm    0.05   2.86    0.2   2010-06-18
 123   5094751    Keck     NIRC2        K'    0.10   8.00    1.0   2013-06-13
 123   5094751  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-25
 123   5094751    Pal5     PHARO         J    0.20   5.42    0.5   2009-09-10
 123   5094751    WIYN      DSSI     692nm    0.05   3.66    0.2   2010-06-18
 123   5094751    WIYN      DSSI     562nm    0.05   2.12    0.2   2010-06-18
 124  11086270  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-16
 124  11086270    Pal5     PHARO         J    0.21   4.55    0.5   2009-09-09
 124  11086270    WIYN      DSSI     692nm    0.05   3.80    0.2   2011-06-14
 124  11086270    WIYN      DSSI     880nm    0.05   2.58    0.2   2011-06-14
 125  11449844    WIYN      DSSI     692nm    0.05   2.56    0.2   2010-10-24
 125  11449844    WIYN      DSSI     880nm    0.05   2.31    0.2   2010-10-24
 126   5897826  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2015-06-08
 126   5897826    Pal5     PHARO         J    0.10   6.34    0.5   2009-09-10
 126   5897826    WIYN      DSSI     692nm    0.05   2.91    0.2   2010-06-19
 126   5897826    WIYN      DSSI     562nm    0.05   1.27    0.2   2010-06-19
 127   8359498  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-15
 127   8359498    Pal5     PHARO         J    0.09   6.27    0.5   2009-09-10
 127   8359498    WIYN      DSSI     692nm    0.05   2.63    0.2   2010-10-24
 127   8359498    WIYN      DSSI     880nm    0.05   1.87    0.2   2010-10-24
 128  11359879    Keck     NIRC2        Ks    0.04   5.24    0.5   2014-07-17
 128  11359879  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-16
 128  11359879    WIYN      DSSI     880nm    0.05   2.10    0.2   2010-10-24
 128  11359879    WIYN      DSSI     692nm    0.05   2.48    0.2   2010-10-24
 130   5297298    WIYN      DSSI     692nm    0.05   2.89    0.2   2010-10-24
 130   5297298    WIYN      DSSI     880nm    0.05   2.61    0.2   2010-10-24
 131   7778437    CAHA  AstraLux        i'    0.37   3.26    0.5   2011-06-10
 131   7778437    Keck     NIRC2        Ks    0.04   4.52    0.5   2014-07-17
 131   7778437  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-16
 131   7778437    WIYN      DSSI     692nm    0.05   2.45    0.2   2011-09-08
 131   7778437    WIYN      DSSI     880nm    0.05   2.16    0.2   2011-09-08
 131   7778437    WIYN      DSSI     880nm    0.05   2.70    0.2   2011-09-14
 131   7778437    WIYN      DSSI     692nm    0.05   3.10    0.2   2011-09-14
 134   9032900  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2012-07-16
 135   9818381    Keck     NIRC2        Ks    0.04   4.80    0.5   2014-07-17
 135   9818381  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2012-07-17
 135   9818381    WIYN      DSSI     692nm    0.05   2.63    0.2   2010-10-24
 135   9818381    WIYN      DSSI     880nm    0.05   2.34    0.2   2010-10-24
 137   8644288    Keck     NIRC2        K'   99.99   8.00    0.5   2014-08-13
 137   8644288    Keck     NIRC2        K'   99.99   4.64   0.03   2014-08-13
 137   8644288  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-17
 137   8644288    Pal5     PHARO         J    0.08   6.24    0.5   2009-09-08
 137   8644288    WIYN      DSSI     562nm    0.05   3.30    0.2   2010-06-22
 137   8644288    WIYN      DSSI     692nm    0.05   3.44    0.2   2010-06-22
 137   8644288    WIYN      DSSI     692nm    0.05   2.68    0.2   2010-10-25
 137   8644288    WIYN      DSSI     880nm    0.05   2.25    0.2   2010-10-25
 138   8506766  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
 139   8559644    CAHA  AstraLux        i'    0.42   3.16    0.5   2011-06-10
 139   8559644    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-26
 139   8559644    Lick     IRCAL         J    0.34   2.71    0.5   2011-09-09
 139   8559644  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-17
 139   8559644    WIYN      DSSI     880nm    0.05   2.00    0.2   2011-09-07
 139   8559644    WIYN      DSSI     692nm    0.05   2.83    0.2   2011-09-07
 141  12105051    Keck     NIRC2        K'   99.99   4.20   0.03   2014-08-13
 141  12105051    Keck     NIRC2        K'   99.99   7.60    0.5   2014-08-13
 141  12105051     MMT     ARIES        Ks    0.15   8.00    1.0   2009-11-09
 141  12105051     MMT     ARIES         J    0.20   8.00    1.0   2009-11-09
 141  12105051  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-18
 141  12105051    WIYN      DSSI     692nm    0.05   2.77    0.2   2010-10-23
 141  12105051    WIYN      DSSI     880nm    0.05   1.97    0.2   2010-10-23
 142   5446285    Keck     NIRC2        Ks   99.99  99.99  99.99   2013-10-28
 142   5446285    Lick     IRCAL         J    0.29   3.09    0.5   2011-09-08
 142   5446285  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-17
 142   5446285    WIYN      DSSI     692nm    0.05   1.00    0.2   2010-06-24
 142   5446285    WIYN      DSSI     562nm    0.05   3.34    0.2   2010-06-24
 144   4180280    Keck     NIRC2        K'   99.99   3.29   0.03   2012-08-12
